"","labels","p1","p2","p3"
"1",-1,6.57619850477204,-4.47824130067602,2.09795720409602
"2",1,35.0041368778329,-27.4606530752499,7.54348380258307
"3",1,23.029895615764,-15.1123665226623,7.91752909310162
"4",1,35.3358514059801,-27.0756363298278,8.26021507615224
"5",-1,31.4216413046233,-28.9952085656114,2.42643273901194
"6",-1,22.5460753322113,-18.2981811917853,4.24789414042607
"7",1,23.8221463980153,-15.9494062839076,7.87274011410773
"8",-1,24.5455208991189,-22.6383578206878,1.90716307843104
"9",-1,26.8928830651566,-25.0263245077804,1.86655855737627
"10",1,36.9869882497005,-29.4346585986204,7.55232965108007
"11",-1,14.6420439239591,-13.3464899193496,1.29555400460958
"12",1,17.67453162116,-10.1682355802041,7.50629604095593
"13",-1,14.5653296576347,-10.9457593469415,3.61957031069323
"14",-1,16.380687255878,-12.3845234955661,3.9961637603119
"15",-1,10.1843194512185,-9.4450694473926,0.739250003825873
"16",1,13.0412141699344,-5.72195415385067,7.31926001608372
"17",1,26.6639093158301,-20.7838560605887,5.88005325524136
"18",-1,31.0752013069578,-30.4141674633138,0.661033843643963
"19",1,37.7305721398443,-29.3362410087138,8.39433113113046
"20",-1,7.60131676564924,-3.97558498312719,3.62573178252205
"21",1,27.811453526374,-19.1261445567943,8.68530896957964
"22",-1,7.19900363823399,-3.95265141734853,3.24635222088546
"23",1,22.9426112270448,-13.0507445835974,9.89186664344743
"24",-1,6.48284994415008,-4.70470321946777,1.7781467246823
"25",-1,2.39071586402133,2.16130866901949,4.55202453304082
"26",-1,24.2664424178656,-21.8712184543256,2.39522396354005
"27",1,37.8001729224343,-29.7594641882461,8.04070873418823
"28",1,29.8912010947242,-20.6690008705482,9.22220022417605
"29",1,36.6242241719738,-28.1922496436164,8.43197452835739
"30",1,17.2351054067258,-10.5424677429255,6.69263766380027
"31",-1,27.3860233498272,-23.8462981919292,3.53972515789792
"32",1,23.6366519960575,-14.1317681339569,9.50488386210054
"33",-1,3.28466971986927,-1.62271321169101,1.66195650817826
"34",-1,22.2110577463172,-19.4802514486946,2.73080629762262
"35",1,5.09865758591332,0.874451115960255,5.97310870187357
"36",1,37.5243037787732,-29.8711295390967,7.65317423967645
"37",-1,7.76466401526704,-6.88757933443412,0.877084680832922
"38",-1,28.426168205915,-25.6597805407364,2.76638766517863
"39",1,25.3123484388925,-15.8883264078759,9.42402203101665
"40",1,27.9935883975122,-21.6100146004464,6.38357379706576
"41",1,26.5236880828161,-18.7382449756842,7.78544310713187
"42",-1,4.39905194565654,0.104156099259853,4.50320804491639
"43",1,32.0643544802442,-23.0179383559152,9.04641612432897
"44",1,38.4520124015398,-31.4704178343527,6.98159456718713
"45",-1,3.63209935720079,0.75903867254965,4.39113802975044
"46",1,26.3033972424455,-17.3491612891667,8.95423595327884
"47",1,5.51432925625704,1.4905441866722,7.00487344292924
"48",1,35.0789297115989,-26.3921631011181,8.68676661048084
"49",1,18.8101236301009,-11.6113489528652,7.19877467723563
"50",-1,38.2222573691979,-34.6307448809966,3.59151248820126
"51",-1,25.6596705748234,-24.373028309783,1.28664226504043
"52",-1,9.51950642396696,-4.55503986100666,4.9644665629603
"53",1,43.0048329080455,-33.1288606789894,9.87597222905606
"54",-1,13.2439401792362,-13.0745980842039,0.169342095032334
"55",-1,11.4260824851226,-11.1310483061243,0.295034178998321
"56",-1,3.61427622963674,-3.42957465793006,0.184701571706682
"57",-1,15.2682475256734,-14.1575918463059,1.11065567936748
"58",1,38.9175727474503,-32.4647970427759,6.45277570467442
"59",-1,38.2009020564146,-36.0595855745487,2.14131648186594
"60",1,36.0553199320566,-27.2857368097175,8.7695831223391
"61",-1,20.1440270489547,-19.200587956002,0.943439092952758
"62",-1,14.4000966602471,-14.3758269457612,0.0242697144858539
"63",1,21.5051615587436,-15.1616551377811,6.34350642096251
"64",1,10.560729377903,-2.50807895790786,8.05265041999519
"65",-1,11.2315942242276,-6.22737937723286,5.00421484699473
"66",-1,16.5249758365098,-11.6385909949895,4.88638484152034
"67",-1,7.41165764280595,-6.16731116897427,1.24434647383168
"68",-1,16.5638181462418,-16.5537740767468,0.0100440694950521
